№;Место хранения;Памятник;Постройка;Вид;Тип;"Индивид. номер 
(музейный, если есть)";"Номер квадрата/участка
 по археологическим отчётам";"Год 
находки";"Количество 
фрагментов";цвет;Название;Примечание
2997;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
2998;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
2999;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3000;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3001;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3002;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3003;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3004;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3005;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3006;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3007;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3008;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3009;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3010;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3011;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3012;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3013;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3014;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3015;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3016;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3017;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3018;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3019;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3020;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3021;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3022;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3023;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3024;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3025;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3026;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3027;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3028;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3029;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3030;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3031;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3032;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3033;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3034;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3035;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3036;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3037;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3038;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3039;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3040;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3041;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3042;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3043;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3044;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3045;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3046;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3047;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3048;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3049;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3050;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3051;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3052;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3053;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3054;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3055;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3056;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3057;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3058;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3059;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3060;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3061;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3062;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3063;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3064;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3065;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3066;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3067;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3068;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3069;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3070;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3071;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3072;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3073;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3074;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3075;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3076;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3077;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3078;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3079;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3080;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3081;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3082;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3083;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3084;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3085;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3086;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3087;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3088;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3089;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3090;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3091;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3092;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3093;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3094;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3095;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3096;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3097;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3098;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3099;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3100;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3101;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3102;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3103;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3104;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3105;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3106;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3107;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3108;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3109;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3110;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3111;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3112;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3113;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3114;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3115;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3116;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3117;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3118;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3119;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3120;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3121;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3122;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3123;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3124;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3125;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3126;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3127;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3128;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3129;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3130;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3131;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3132;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3133;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3134;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3135;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3136;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3137;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3138;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3139;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3140;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3141;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3142;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3143;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3144;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3145;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3146;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
3147;Мастерская в Кремле;«Культурный слой ансамбля Юрьева монастыря», XII–XIX вв.;Георгиевский собор;Индивидуальная фреска;Индивидуальный;;южная апсида;2014-2015;1;;;
